time,transaction_id,amount,risk_score,risk_level,fraud_probability
2026-09-04 08:41:14,TXN-DEMO-001,2500.0,28.53,LOW,0.2853
2026-09-04 08:43:18,TXN-LOW-001,500.0,20.74,LOW,0.2074
2026-09-04 13:12:02,TXN-DEMO-001,2500.0,28.53,LOW,0.2853
2026-09-04 16:14:37,TXN001,250.0,7.64,LOW,0.0764
2026-09-04 16:17:20,TXN002,900.0,75.48,HIGH,0.7548
2026-09-04 16:19:15,TXN003,2500.0,89.87,HIGH,0.8987
2026-09-04 16:20:26,TXN004,1800.0,90.16,HIGH,0.9016
2026-09-04 16:22:33,TXN005,700.0,33.88,LOW,0.3388
2026-09-04 16:38:38,TXN006,2500.0,89.87,HIGH,0.8987
2026-09-04 16:53:12,TXN010,2179.0,29.63,LOW,0.2963
2026-09-04 17:00:06,TXN011,500.0,68.05,MEDIUM,0.6805
2026-09-04 19:23:24,DEMO001,1500.0,89.87,HIGH,0.8987
