transaction_id,amount,transaction_hour,transactions_last_24h,account_age_days,device_changes_7d,location_changes_7d,is_fraud
TXN000001,83.28,11,4,268,0,0,0
TXN000002,48.54,7,3,181,0,0,0
TXN000003,94.68,6,4,120,0,0,1
TXN000004,199.25,7,4,222,1,0,0
TXN000005,44.74,15,1,591,0,1,0
TXN000006,44.75,5,7,214,0,2,1
TXN000007,209.0,11,3,709,0,0,0
TXN000008,104.83,17,6,774,1,0,0
TXN000009,36.63,11,2,48,0,0,0
TXN000010,86.59,18,3,808,0,1,0
TXN000011,36.82,17,1,652,1,0,0
TXN000012,36.75,10,1,269,0,1,0
TXN000013,67.07,17,4,635,0,1,0
TXN000014,10.74,17,3,449,1,0,0
TXN000015,12.6,12,1,436,1,0,0
TXN000016,33.85,9,2,641,2,0,0
TXN000017,23.08,14,2,94,0,1,0
TXN000018,71.32,21,2,319,0,0,0
TXN000019,25.23,15,3,375,1,0,0
TXN000020,16.44,9,4,496,0,0,0
TXN000021,189.77,16,8,596,0,0,1
TXN000022,45.06,12,1,304,0,0,0
TXN000023,57.82,15,7,540,1,0,0
TXN000024,16.26,17,0,334,2,0,0
TXN000025,34.37,14,4,259,0,0,0
TXN000026,60.0,18,6,459,0,0,0
TXN000027,20.53,17,1,1035,0,1,0
TXN000028,75.14,15,1,352,0,0,0
TXN000029,32.77,8,4,177,0,0,0
TXN000030,42.61,19,7,1198,0,0,0
TXN000031,32.74,21,0,1393,0,0,0
TXN000032,263.6,8,2,178,0,0,0
TXN000033,53.98,13,6,359,1,0,0
TXN000034,22.22,10,3,226,0,0,0
TXN000035,109.86,17,2,377,1,1,0
TXN000036,19.34,17,3,324,1,0,0
TXN000037,65.2,8,5,463,0,0,0
TXN000038,10.32,20,6,349,0,1,0
TXN000039,17.66,9,2,304,1,0,0
TXN000040,64.54,18,1,446,0,0,0
TXN000041,102.28,13,2,166,0,0,0
TXN000042,63.16,11,7,1332,1,1,0
TXN000043,49.49,9,3,1122,0,1,0
TXN000044,42.27,9,4,317,1,2,0
TXN000045,15.54,16,1,496,0,0,0
TXN000046,29.61,14,3,534,0,0,1
TXN000047,36.91,8,1,558,1,0,0
TXN000048,134.1,8,4,457,0,0,0
TXN000049,73.12,6,6,184,0,0,0
TXN000050,12.2,17,10,481,0,1,1
TXN000051,71.91,17,4,622,1,0,1
TXN000052,39.36,6,3,436,0,0,0
TXN000053,30.71,14,1,555,1,1,0
TXN000054,91.83,7,5,392,0,1,0
TXN000055,131.15,20,4,1026,0,0,0
TXN000056,120.49,20,4,230,0,0,0
TXN000057,26.75,16,7,454,1,1,0
TXN000058,41.98,21,3,773,0,0,0
TXN000059,72.35,18,4,444,1,1,0
TXN000060,125.11,19,6,1051,0,0,0
TXN000061,36.33,14,3,103,0,1,0
TXN000062,46.63,11,4,503,0,0,0
TXN000063,21.32,9,4,246,1,1,0
TXN000064,19.75,11,3,206,0,0,0
TXN000065,108.92,15,1,171,0,0,0
TXN000066,172.92,9,5,985,0,0,0
TXN000067,51.36,10,3,425,2,0,0
TXN000068,128.12,13,3,1120,0,2,0
TXN000069,74.25,10,7,159,0,0,0
TXN000070,31.55,15,3,363,1,1,0
TXN000071,74.23,21,2,195,0,1,0
TXN000072,201.81,17,3,1026,1,2,0
TXN000073,52.96,16,0,551,1,2,0
TXN000074,206.43,15,1,368,2,0,0
TXN000075,5.89,13,4,783,0,0,0
TXN000076,109.8,9,2,490,0,2,0
TXN000077,58.79,20,2,34,0,0,0
TXN000078,42.34,10,6,135,0,0,0
TXN000079,59.03,7,2,503,1,2,0
TXN000080,10.08,17,4,144,0,0,0
TXN000081,45.3,9,1,275,0,0,0
TXN000082,73.96,12,4,166,0,0,0
TXN000083,191.75,2,0,694,0,1,0
TXN000084,35.14,8,1,183,1,0,0
TXN000085,27.46,9,1,390,0,0,0
TXN000086,35.64,5,1,495,0,0,0
TXN000087,118.88,16,3,297,0,0,0
TXN000088,72.2,19,6,400,1,0,0
TXN000089,34.8,12,5,338,0,2,0
TXN000090,84.46,20,3,947,0,0,0
TXN000091,59.29,9,3,496,0,1,0
TXN000092,124.38,11,4,69,0,0,0
TXN000093,30.06,8,2,856,0,0,0
TXN000094,41.33,15,3,101,0,0,1
TXN000095,39.12,12,5,807,0,0,0
TXN000096,15.74,15,7,510,0,1,0
TXN000097,70.22,18,5,252,0,1,0
TXN000098,68.16,14,3,208,1,0,0
TXN000099,54.84,15,5,121,0,0,0
TXN000100,44.73,21,3,105,0,1,0
TXN000101,16.39,11,4,674,0,0,0
TXN000102,38.19,11,4,323,0,1,0
TXN000103,40.8,17,6,362,0,0,0
TXN000104,27.61,15,1,200,1,1,0
TXN000105,47.6,9,1,172,0,0,0
TXN000106,76.97,12,4,343,0,0,0
TXN000107,271.31,13,1,134,0,0,0
TXN000108,63.33,12,4,211,3,0,1
TXN000109,67.96,9,5,272,0,0,0
TXN000110,51.25,21,4,217,0,0,0
TXN000111,10.69,18,6,625,0,0,0
TXN000112,53.38,13,2,39,0,1,0
TXN000113,57.47,16,8,739,0,0,1
TXN000114,443.08,20,6,962,0,0,0
TXN000115,46.36,8,5,175,0,0,0
TXN000116,70.55,10,1,299,1,0,0
TXN000117,53.01,14,2,333,0,1,0
TXN000118,20.22,18,0,427,0,1,0
TXN000119,144.23,3,1,1184,0,1,0
TXN000120,103.46,23,2,1144,1,1,0
TXN000121,106.95,13,2,132,0,0,0
TXN000122,25.2,11,3,244,1,0,0
TXN000123,179.9,11,6,1194,0,1,0
TXN000124,16.58,9,4,190,0,0,0
TXN000125,89.91,18,3,82,1,0,0
TXN000126,351.39,22,2,273,1,2,0
TXN000127,23.52,12,3,706,0,0,0
TXN000128,33.74,21,3,275,0,0,0
TXN000129,59.42,19,1,151,0,0,0
TXN000130,35.59,13,2,292,0,0,0
TXN000131,14.61,16,4,875,0,1,0
TXN000132,57.87,12,5,488,0,1,0
TXN000133,22.13,14,6,176,0,1,1
TXN000134,81.66,6,3,350,0,1,0
TXN000135,24.99,16,2,94,0,1,0
TXN000136,203.86,5,0,175,2,0,0
TXN000137,28.06,18,3,132,0,1,0
TXN000138,41.52,19,3,282,1,1,0
TXN000139,109.02,10,2,417,0,0,0
TXN000140,19.18,11,2,301,1,2,0
TXN000141,66.24,13,3,72,0,0,0
TXN000142,165.85,15,4,750,1,0,1
TXN000143,13.92,10,4,151,0,0,0
TXN000144,63.88,15,3,116,0,0,0
TXN000145,68.09,11,6,273,0,0,0
TXN000146,106.12,5,0,495,1,1,0
TXN000147,19.08,0,2,483,1,0,0
TXN000148,17.77,7,4,335,1,2,0
TXN000149,85.08,18,4,364,0,0,0
TXN000150,70.28,22,2,410,0,0,0
TXN000151,67.55,12,4,131,1,0,0
TXN000152,73.29,14,3,499,1,1,0
TXN000153,30.63,8,2,206,0,0,0
TXN000154,66.51,14,5,458,0,0,0
TXN000155,70.04,8,7,93,0,0,0
TXN000156,29.75,15,1,94,0,2,0
TXN000157,266.64,21,4,145,0,1,1
TXN000158,81.68,9,3,230,1,1,0
TXN000159,19.83,18,3,153,0,0,0
TXN000160,95.4,1,1,675,0,0,1
TXN000161,23.84,12,0,653,2,1,0
TXN000162,106.59,8,3,357,1,1,0
TXN000163,146.18,11,4,848,0,0,0
TXN000164,27.18,9,0,319,1,1,0
TXN000165,123.83,12,0,143,0,1,0
TXN000166,77.55,12,1,273,1,0,0
TXN000167,109.81,11,3,203,0,0,0
TXN000168,273.77,16,2,911,0,0,0
TXN000169,44.32,21,3,448,1,0,0
TXN000170,28.77,12,4,755,0,1,0
TXN000171,25.63,9,4,143,0,0,0
